PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P380
Station name, OITCampus_OR2005
Begin Date, 2005-04-02
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P380.cwu.nam14.pos
Offset from source file, 34.14 mm North, -11.84 mm East, -7.69 mm Vertical
Reference position, 42.2596703428 North Latitude, -121.7796981421 East Longitude, 1390.82462 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-10-11,2.72, 1.21, 6.77, 2.18, 1.61, 7.28, repro,
2005-10-12,3.30, 2.00, 5.81, 2.2, 1.61, 7.3, repro,
2005-10-13,4.83, 2.32, 6.33, 2.2, 1.61, 7.3, repro,
2005-10-14,4.10, 1.81, 16.94, 2.18, 1.58, 7.18, repro,
2005-10-15,5.16, 0.36, 11.09, 2.27, 1.66, 7.59, repro,
2005-10-16,3.11, 1.51, 7.04, 2.25, 1.63, 7.63, repro,
2005-10-17,3.01, 2.67, 10.30, 2.16, 1.58, 7.18, repro,
2005-10-18,2.86, 2.37, 10.25, 2.32, 1.73, 7.77, repro,
2005-10-19,1.97, 1.71, 10.01, 2.27, 1.65, 7.52, repro,
2005-10-20,2.92, 1.96, 5.17, 2.3, 1.62, 7.44, repro,
2005-10-21,4.25, 2.89, 8.20, 2.29, 1.69, 7.75, repro,
2005-10-22,4.19, 1.75, 9.56, 2.16, 1.58, 7.18, repro,
2005-10-23,4.68, 2.15, 7.64, 2.2, 1.61, 7.29, repro,
2005-10-24,4.90, 1.30, 4.67, 2.21, 1.62, 7.31, repro,
2005-10-25,4.57, 1.74, 8.90, 2.26, 1.68, 7.51, repro,
2005-10-26,4.15, 2.75, 10.83, 2.25, 1.68, 7.55, repro,
2005-10-27,4.90, 2.08, 5.61, 2.22, 1.66, 7.51, repro,
2005-10-28,3.45, 0.95, 7.81, 2.16, 1.56, 7.11, repro,
2005-10-29,3.36, 2.22, 6.86, 2.19, 1.61, 7.34, repro,
2005-10-30,3.53, 3.16, 1.68, 2.25, 1.67, 7.46, repro,
2005-10-31,5.57, 1.81, 0.47, 2.37, 1.77, 7.94, repro,
2005-11-01,5.95, 1.26, 7.55, 2.37, 1.78, 7.97, repro,
2005-11-02,3.98, 2.41, 10.41, 2.28, 1.74, 7.66, repro,
2005-11-03,4.44, 1.74, 12.06, 2.26, 1.68, 7.54, repro,
2005-11-04,3.29, 2.21, 8.83, 2.29, 1.71, 7.64, repro,
2005-11-05,4.67, 2.36, 9.58, 2.3, 1.75, 7.67, repro,
2005-11-06,4.55, 2.46, 4.75, 2.31, 1.77, 7.76, repro,
2005-11-07,4.97, 0.84, 5.03, 2.28, 1.75, 7.7, repro,
2005-11-08,2.88, 1.61, 2.11, 2.34, 1.79, 7.87, repro,
2005-11-09,4.93, 1.94, -1.58, 2.34, 1.79, 7.87, repro,
2005-11-10,4.43, 1.96, 3.17, 2.45, 1.81, 8.05, repro,
2005-11-11,6.31, 2.72, 8.04, 2.45, 1.84, 8.26, repro,
2005-11-12,4.10, 3.11, 8.26, 2.21, 1.69, 7.43, repro,
2005-11-13,6.71, 4.82, -3.44, 2.34, 1.77, 7.81, repro,
2005-11-14,4.60, 2.55, -4.24, 2.28, 1.7, 7.66, repro,
2005-11-15,5.02, 2.29, -2.94, 2.21, 1.61, 7.34, repro,
